gene,IMR-90_NPC_siNC_1,IMR-90_NPC_siNC_2,IMR-90_NPC_siNC_3,IMR-90_NPC_siNC_4,IMR-90_NPC_siNC_5,IMR-90_NPC_siNC_6,IMR-90_NPC_siZCC_1,IMR-90_NPC_siZCC_2,IMR-90_NPC_siZCC_3,IMR-90_NPC_siZCC_4,IMR-90_NPC_siZCC_5,IMR-90_NPC_siZCC_6
NPPA,224,297,228,189,266,233,223,245,169,152,228,234
AL021155.1,0,0,0,0,0,0,0,0,0,0,0,0
NPPB,55,73,74,35,46,47,31,64,40,33,39,46
SBF1P2,6,7,0,1,4,2,6,5,3,2,0,4
AL021155.4,55,30,25,27,56,33,16,21,26,20,25,32
RNU5E-1,0,0,0,0,0,0,0,0,0,0,0,0
RNU5E-4P,1,1,3,1,3,0,0,3,0,0,0,0
KIAA2013,5691,6220,6128,4779,6245,5837,4767,5531,5020,4245,4560,4929
PLOD1,12729,13291,13657,11011,12955,13568,9355,10749,10094,8037,8722,10493
AL096840.3,4,5,9,4,5,7,2,2,2,2,2,8
MFN2,17496,18957,18144,14474,19534,18010,14193,16545,14573,12634,13843,15531
AL096840.2,2,2,3,9,6,4,1,5,0,2,3,5
MIIP,3499,3981,3873,2958,3646,3411,2858,3330,2983,2728,2884,3221
AL096840.1,0,0,0,1,1,0,0,0,0,1,0,2
MIR6729,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL649P,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF8,16,6,17,10,12,22,9,11,5,3,6,9
RNU6-777P,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP89,3,2,2,0,0,1,0,0,0,2,0,0
AL357835.1,0,0,0,0,0,0,0,0,0,0,0,0
MIR7846,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF1B,341,319,343,221,266,482,173,190,177,216,226,210
MIR4632,0,0,1,0,0,0,0,0,0,0,0,0
RPL10P17,0,0,0,0,0,0,1,0,0,0,0,0
SNORA70,6,7,3,2,6,10,5,5,2,5,3,8
VPS13D,14388,15432,13171,11694,16209,15481,11266,14611,12282,10544,11293,12248
SNORA59A,13,20,21,14,17,20,27,25,28,22,23,25
LINC02766,1,5,2,5,4,3,0,0,2,1,2,4
DHRS3,568,543,580,454,609,465,558,577,579,650,529,641
RNU6ATAC18P,2,5,1,3,6,3,5,0,2,5,5,7
MIR6730,1,0,1,0,0,1,2,1,2,2,1,0
AC254633.1,5,12,19,17,7,10,11,10,11,3,8,11
AADACL4,1,1,0,0,0,0,0,1,0,1,0,2
AC244670.1,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,1
C1orf158,1182,990,1232,1111,1036,1390,514,652,662,666,618,708
PRAMEF12,28,18,29,26,22,20,14,22,17,19,10,12
PRAMEF1,0,0,0,0,1,1,0,0,0,0,1,0
LINC01784,0,0,0,1,0,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF30P,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL1,16,29,20,19,24,24,18,21,21,20,25,34
PRAMEF2,8,2,0,2,3,1,1,0,0,1,1,0
PRAMEF4,0,0,0,0,0,1,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF7,1,0,0,0,0,1,0,0,0,0,0,0
RNU6-1072P,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF29P,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF28P,1,0,0,1,0,0,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL3,1,1,6,0,0,0,1,1,2,1,2,3
PRAMEF25,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF34P,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF35P,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL2,7,6,8,9,10,8,2,3,9,4,3,4
PRAMEF36P,0,0,0,0,0,0,0,0,0,0,0,0
AC245056.1,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL4,13,31,29,25,26,24,19,12,22,17,18,21
PRAMEF9,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF31P,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF32P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-771P,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF8,1,2,0,2,0,1,0,1,0,0,0,0
PRAMEF33,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0,0,0,0,0,0
AC243961.1,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,1,3,0,2,1,2,0,0
PRAMEF19,0,0,0,0,0,0,0,0,0,2,0,0
PRAMEF17,1,0,0,0,0,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0,1,0,0,0,0
LRRC38,3,6,6,0,2,5,3,4,0,0,1,0
AL354712.1,0,0,0,0,0,0,0,0,0,0,0,0
BRWD1P1,0,0,1,0,0,1,1,0,0,1,0,0
PDPN,6548,6142,6870,5020,5640,6335,4385,5750,4894,3886,3805,5663
RNA5SP41,0,0,0,0,0,0,0,0,0,0,0,0
AL359771.1,0,0,0,0,0,0,0,1,0,0,0,0
AL359771.2,2,1,2,0,1,1,1,1,0,2,2,1
PRDM2,9739,10682,9825,8055,10930,10331,6993,8979,7543,6477,7080,7783
KAZN,12004,13392,13028,11018,13481,13616,9761,11789,10027,8325,9560,10508
RNU6-1265P,0,0,0,0,0,0,0,0,0,0,0,0
AL357873.1,5,4,0,1,0,1,3,0,1,0,0,2
KAZN-AS1,1,0,1,0,0,0,1,0,0,0,0,0
TBCAP2,0,0,0,0,0,0,0,0,0,0,0,3
AL031293.1,2,6,0,2,0,0,0,1,1,1,0,0
TMEM51-AS1,95,89,91,66,81,86,127,99,122,104,82,110
TMEM51,397,478,432,332,473,392,390,465,344,339,354,364
C1orf195,1,1,2,2,2,0,0,1,1,0,0,1
MFFP1,1,2,3,2,4,5,0,5,0,1,2,0
ZBTB2P1,0,2,0,0,0,0,3,0,0,1,1,0
FHAD1,840,719,759,791,748,977,351,459,543,437,381,484
FHAD1-AS1,4,8,4,5,5,7,7,1,5,1,3,6
AL031283.2,5,2,3,3,0,0,3,2,0,1,1,1
AL031283.1,48,58,43,41,74,37,41,59,59,44,43,36
EFHD2,4194,5187,5371,3990,5324,4594,4101,4624,3997,3412,3817,3967
CTRC,28,24,44,17,23,21,21,20,21,14,23,19
CELA2A,0,1,1,4,2,1,1,0,0,0,0,2
CELA2B,0,5,0,3,2,2,0,4,1,1,0,1
CASP9,1771,1750,1847,1393,1793,1742,1313,1512,1388,1303,1260,1548
DNAJC16,3604,3481,3431,2805,3583,3748,2335,3146,2732,2129,2201,2739
SCARNA21B,3,2,1,4,4,3,0,4,7,3,2,4
AL121992.3,4,0,0,3,0,1,3,3,0,0,0,1
AGMAT,41,22,38,28,42,21,17,43,28,20,18,25
AL121992.1,20,14,18,15,15,12,11,14,15,15,15,9
CHCHD2P6,34,38,59,36,42,45,41,40,30,38,31,39
RNU7-179P,0,0,0,0,0,0,0,1,1,0,0,0
CD24P1,2,2,0,0,0,0,0,0,0,0,0,2
DDI2,3268,3249,3101,2465,3573,3434,2493,3198,2595,2104,2307,2803
RSC1A1,0,0,0,0,0,0,0,0,0,0,0,0
AL121992.2,4,6,5,3,7,8,5,1,1,3,2,3
PLEKHM2,13931,15471,15712,11807,15136,14300,12169,13790,12205,10683,11318,13016
AL450998.2,3,4,9,3,2,4,10,6,4,1,0,4
SLC25A34,438,549,596,426,535,456,331,484,398,306,412,363
SLC25A34-AS1,3,6,8,1,1,3,1,5,7,2,4,1
TMEM82,1,0,3,2,1,0,0,0,1,1,0,1
FBLIM1,5713,5473,6242,4519,5219,5880,3829,4522,3936,2988,3349,4160
RPL12P14,18,22,12,11,16,18,20,14,18,19,6,18
UQCRHL,614,710,668,523,636,519,510,633,573,472,448,606
AL450998.1,288,319,259,238,283,261,241,286,245,239,238,286
FLJ37453,1179,1298,1407,971,1292,1252,842,1047,910,785,976,969
SPEN,26860,30829,27232,22814,32289,29912,20672,26264,22296,19317,21488,22024
AL034555.1,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB17,6471,7131,7136,5726,6920,6593,5320,5811,5441,4795,5115,5487
AL355994.4,3,3,2,0,0,0,3,1,5,2,1,4
AL355994.1,0,0,0,0,0,2,0,0,2,0,0,0
AL355994.5,0,0,0,0,0,0,0,0,0,0,0,0
TBC1D3P6,1,1,0,0,1,3,1,0,0,0,1,1
SRARP,0,0,1,0,0,0,0,0,0,1,0,0
AL355994.3,0,0,0,0,0,0,0,1,0,0,0,0
HSPB7,5,9,4,4,5,6,2,6,5,6,4,2
CLCNKA,6,11,11,2,7,7,3,5,6,2,4,3
AL355994.2,2,1,1,3,3,3,2,3,0,2,2,1
CLCNKB,15,12,12,9,6,12,9,13,6,9,7,18
FAM131C,50,58,73,54,66,63,56,60,54,62,66,46
EPHA2,3868,3833,3874,3357,3680,3971,3192,3775,3525,2365,2548,3380
AL451042.2,15,15,21,20,10,20,14,22,15,6,15,19
AL451042.1,9,7,8,8,5,7,3,6,10,7,4,6
ARHGEF19-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF19,511,533,520,408,517,554,317,428,316,298,421,358
ANO7L1,57,63,102,56,60,81,31,46,48,27,33,42
AL109627.1,1375,1526,1495,1118,1505,1337,1198,1333,1219,1086,1097,1235
CPLANE2,1110,1113,1046,755,1081,966,935,1081,957,803,859,1026
MT1XP1,24,39,50,33,60,43,21,32,31,21,18,25
FBXO42,8368,8669,8858,6891,8765,8245,6232,7784,6409,5575,6045,6681
SZRD1,15010,15930,16246,12292,15247,15785,11260,13104,11935,9922,11028,13348
RPL22P3,5,3,1,1,4,4,2,0,1,3,7,4
SPATA21,18,20,21,11,15,23,36,19,23,18,14,24
NECAP2,4847,4774,4991,3817,4728,4758,3488,4151,3819,2945,3265,4259
LINC01772,216,199,194,159,224,218,131,143,132,104,133,151
CROCCP3,4139,4213,4084,3466,4446,4305,2942,3583,3223,2594,3207,3087
RNU1-1,6,5,5,4,8,5,0,12,4,2,1,0
AL137802.2,35,78,61,47,74,56,45,46,42,30,39,53
AL137802.3,32,21,26,22,29,27,17,23,22,13,14,17
AL137802.1,0,0,0,1,0,0,0,0,0,0,0,0
LINC01783,4,5,9,4,10,1,4,4,1,5,3,2
RNU1-6P,0,0,0,0,0,0,0,0,0,0,0,0
AL355149.1,1,0,0,0,0,0,0,2,0,0,0,0
NBPF1,6275,7178,5966,5576,7870,7039,5284,6344,5729,5062,5436,5610
AL137798.1,5,4,4,0,2,1,2,0,0,1,1,2
CROCCP2,6525,7251,7282,5785,7327,6661,5396,6455,5707,4944,5357,5641
AL137798.3,0,0,0,0,0,0,0,0,0,0,0,0
MST1P2,333,369,321,292,353,262,332,444,346,290,271,378
AL137798.2,5,2,8,0,0,1,0,0,1,1,0,0
RNU1-3,0,0,6,0,0,0,0,1,0,1,0,0
AL021920.2,5,5,6,3,5,0,5,2,0,5,1,2
EIF1AXP1,90,97,99,60,100,75,74,83,59,61,79,81
ESPNP,18,17,22,26,28,24,31,19,22,24,15,16
AL021920.1,0,0,0,0,0,0,0,0,0,0,0,0
AL021920.3,5,8,2,6,7,7,2,1,1,4,2,4
CROCC,7449,8233,7871,7069,8272,7512,5987,7554,6808,5701,6787,6431
CROCCP4,18,22,11,15,31,21,22,17,9,16,22,14
RNU1-4,1,0,0,0,0,0,0,0,0,0,0,1
MST1L,142,142,166,151,171,144,160,182,136,89,129,155
BX284668.1,0,0,0,0,0,0,0,1,0,0,0,0
BX284668.3,0,0,0,0,3,0,0,1,0,0,0,0
MIR3675,0,0,0,0,0,0,0,0,0,0,0,0
BX284668.2,3,7,4,5,11,2,8,3,4,5,2,0
RNU1-5P,0,0,0,0,0,0,0,0,0,0,0,0
BX284668.5,28,55,38,28,43,37,36,41,19,21,30,31
BX284668.4,0,0,0,1,0,0,0,0,0,0,0,0
RNU1-2,7,7,10,6,6,13,4,10,1,5,3,9
BX284668.6,16,9,29,11,10,12,5,11,10,4,10,11
MFAP2,1517,1264,1394,1084,1174,1286,1107,1083,1133,861,872,931
AL049569.2,2,2,2,2,4,5,1,2,3,4,2,5
AL049569.1,8,0,18,3,3,1,9,3,4,3,4,1
ATP13A2,15852,17380,17314,13085,16932,15632,13523,15113,13464,11753,12480,13063
AL049569.3,0,0,0,0,0,0,0,0,0,0,0,0
SDHB,4120,4454,4585,3253,4315,4117,3485,3910,3367,2824,3125,3858
PADI2,291,67,36,32,37,224,79,76,85,22,28,10
LINC02783,6,0,1,2,2,9,4,0,6,0,0,3
AL590644.1,0,0,0,0,0,0,0,0,0,0,0,0
PADI1,4,0,5,1,1,1,1,0,2,0,0,0
PADI3,0,0,1,0,0,0,1,2,1,0,0,4
MIR3972,0,0,0,0,0,0,0,0,0,0,0,0
PADI4,0,0,0,0,0,1,0,1,1,0,0,0
PADI6,0,0,0,2,0,0,0,0,0,0,0,0
RCC2,12552,12715,13270,10342,12706,12735,9071,11237,10149,7912,8908,10188
RCC2-AS1,2,0,1,0,2,2,5,0,1,4,0,1
ARHGEF10L,10449,11558,11159,9086,11767,10325,9032,10447,9557,8243,8836,9863
LINC02810,1,0,2,0,0,0,0,0,1,1,0,0
ACTL8,0,4,7,0,4,4,1,1,1,3,0,2
AL357509.1,0,0,0,0,0,0,0,0,0,0,1,0
LINC01654,0,0,0,0,0,0,0,0,0,0,0,0
IGSF21,20,18,16,10,14,15,25,15,12,17,19,4
AL365209.1,3,2,0,1,0,0,0,1,1,0,0,1
IGSF21-AS1,0,0,0,0,0,0,0,0,0,0,0,0
AL591896.1,0,0,0,0,0,1,0,0,0,0,0,0
KLHDC7A,1,2,3,2,2,7,5,7,0,1,2,2
DYNLL1P3,0,2,0,2,0,0,3,0,2,6,0,0
AL031737.1,0,0,0,0,0,0,0,0,0,0,0,0
PAX7,5,3,3,0,0,5,1,2,12,3,0,0
TAS1R2,0,3,0,0,2,1,2,3,3,1,3,3
ALDH4A1,5266,5590,5846,4626,5297,5598,3926,4590,4157,3534,3900,4504
MIR4695,0,0,0,0,0,0,0,0,0,0,0,0
MIR1290,5,4,4,1,8,3,2,0,3,0,1,0
IFFO2,4662,4710,4513,3856,4781,4874,3552,4606,3655,2848,3243,3685
AL137127.1,227,241,287,215,231,207,155,181,159,106,141,167
UBR4,50715,54467,47647,43115,56383,54278,39423,49027,43685,35535,38808,42156
EMC1-AS1,174,233,193,157,201,214,136,192,168,130,153,165
EMC1,14291,14908,14215,12003,15219,15123,10616,13995,11875,9501,10632,12449
MRTO4,4167,4553,4587,3355,4451,4182,3120,3797,3250,2937,3284,3606
AL035413.2,9,13,19,9,17,18,9,10,13,11,14,9
AKR7L,188,227,265,203,251,222,117,192,170,120,142,179
AKR7A3,188,212,194,134,215,176,155,140,146,118,120,132
AL035413.1,0,0,1,0,2,1,2,0,0,0,0,0
AKR7A2,3931,4639,4230,3359,4539,4214,3239,3796,3381,3116,3258,3763
RNU6-1099P,21,25,22,18,31,14,13,27,17,14,12,17
SLC66A1,3103,3337,3322,2497,3325,3170,2506,2784,2443,2172,2429,2777
CAPZB,26580,28595,29152,21940,27478,26742,20406,25018,21694,17808,19752,22970
RN7SL277P,0,0,0,0,0,0,0,0,0,0,0,0
MICOS10,1111,1184,1278,894,1193,1193,707,921,732,571,722,797
RNU4-28P,0,0,0,0,0,0,0,0,0,0,0,0
AL031727.2,5,1,1,0,4,0,0,0,3,0,2,3
NBL1,877,835,778,545,754,677,630,897,692,459,632,590
MICOS10-NBL1,3,0,0,0,0,1,0,0,0,0,0,0
AL031727.1,112,116,99,83,112,107,92,116,75,61,98,97
HTR6,6,5,1,2,8,2,7,1,3,4,6,3
TMCO4,59,60,86,57,69,67,54,48,55,29,33,44
RNF186,0,0,0,0,0,0,0,0,0,0,0,0
AL391883.1,0,0,0,0,0,0,0,1,0,0,0,0
OTUD3,4949,5248,5000,4093,5347,4939,3919,5090,4264,3548,3602,4300
PLA2G2E,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL304P,0,0,0,0,1,0,0,0,0,0,0,0
PLA2G2A,0,0,0,1,1,1,0,0,0,0,0,1
PLA2G5,3,5,7,5,8,5,5,1,4,2,0,6
PLA2G2D,1,0,1,0,1,2,1,1,0,0,1,0
PLA2G2F,0,0,1,1,0,1,0,0,0,0,0,0
Z98257.1,1,0,0,0,1,0,0,0,0,0,0,0
PLA2G2C,2,0,0,0,0,0,0,1,0,0,1,0
UBXN10-AS1,1,4,5,2,0,5,1,1,1,3,4,2
UBXN10,267,216,243,241,222,314,92,157,146,139,102,126
LINC01757,0,0,0,0,0,0,0,0,0,0,0,0
Z98257.2,1,1,0,0,0,0,0,0,0,0,1,0
VWA5B1,122,71,100,119,108,149,31,45,84,93,44,80
AL020998.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01141,6,5,11,6,8,5,3,2,4,1,5,5
AL139254.1,0,0,0,0,0,0,0,0,0,0,0,0
AL139254.2,0,0,0,0,0,0,0,1,0,0,0,0
AL139254.3,0,1,0,0,1,1,0,1,1,0,0,0
CAMK2N1,3570,4346,4520,3382,4604,4295,3118,4190,3312,2571,2878,2962
MUL1,4994,5401,5608,4132,5395,5205,3929,4397,3821,3481,3757,4232
RPS4XP4,2,1,4,0,1,1,2,0,0,0,0,2
FAM43B,122,96,129,94,139,132,115,128,134,95,112,98
CDA,2,3,5,8,1,5,3,6,4,3,3,8
PINK1,10068,11251,11544,8588,11503,10484,8958,10007,9039,8237,8656,9425
MIR6084,0,0,0,0,0,0,0,0,0,0,0,0
PINK1-AS,1642,1804,1936,1477,1805,1929,1325,1462,1201,1055,1190,1225
DDOST,18336,18977,19871,14819,19186,18686,14033,16839,14944,12624,14189,16273
KIF17,1109,1213,1210,991,1237,1109,962,1102,1053,928,935,1096
AL663074.2,6,9,7,11,4,5,5,11,10,7,4,5
SH2D5,541,730,588,445,649,549,608,725,607,464,530,652
AL663074.1,0,0,0,0,0,1,0,0,2,0,0,1
HP1BP3,31494,33299,33136,26002,34825,32803,22202,28789,23450,19644,21855,24358
EIF4G3,24859,25714,24635,21159,26604,26520,18061,23329,20133,16442,17464,20410
RNU7-200P,0,0,0,0,0,0,0,0,0,0,0,0
MIR1256,17,5,5,6,6,2,3,8,4,5,5,10
RPS15AP6,140,117,163,87,81,87,54,97,62,60,66,68
AL627311.1,7,8,1,3,5,8,3,7,10,5,4,6
HSPE1P27,0,0,0,0,0,0,0,0,0,0,0,0
AL031005.2,29,20,19,14,17,33,19,16,21,12,24,25
ECE1,8004,7655,7940,7167,7591,8236,5775,6921,6155,4220,4785,5699
AL031005.1,8,17,5,3,5,5,3,3,2,2,6,2
ECE1-AS1,37,54,42,37,45,41,30,73,53,31,32,54
PPP1R11P1,2,4,2,0,1,5,6,3,1,2,3,1
AL592309.1,0,0,1,0,0,0,0,1,0,0,0,0
AL592309.2,0,0,0,0,0,0,0,0,0,0,0,0
NBPF2P,153,212,183,153,211,146,100,160,161,106,117,164
HS6ST1P1,148,221,172,139,177,175,131,132,146,121,133,129
CROCCP5,0,0,0,0,1,0,0,1,4,0,0,0
NBPF3,1034,1085,1056,751,1149,1036,813,1011,827,809,781,835
PFN1P10,0,0,0,1,0,0,1,0,0,0,0,0
ALPL,133,114,136,117,103,126,142,148,150,75,130,154
LINC02596,0,3,1,0,1,0,0,0,0,0,0,2
RAP1GAP,4348,4628,4734,3531,4367,4186,3215,3646,3219,3065,3126,3506
USP48,10085,10163,10255,7905,10763,10623,7212,9445,7989,6125,7088,8189
AL590103.1,0,0,0,0,0,0,0,0,0,0,0,0
LDLRAD2,46,50,39,45,66,77,24,24,32,25,22,31
HSPG2,8305,8393,7427,6907,8127,8603,6103,7505,7693,4889,5379,6470
AL590556.1,0,0,2,1,2,2,1,1,1,0,3,0
AL590556.2,0,0,0,0,0,0,0,0,0,0,0,0
CELA3B,0,0,0,0,0,0,0,0,0,0,0,1
AL590556.3,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL386P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1022P,0,0,0,0,0,1,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0,0,1,0,0,0,0
RN7SL186P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-776P,0,0,0,0,0,0,0,0,0,0,0,0
LINC01635,5,5,7,5,10,11,5,9,6,2,0,10
LINC00339,1041,1011,1084,863,1026,1046,760,969,780,684,682,857
CDC42,30623,32134,33904,24577,31326,31932,20651,28103,22142,18240,20244,24878
CDC42-AS1,33,51,48,34,33,49,46,36,34,19,36,23
AL031281.1,0,0,0,0,0,0,0,0,0,0,0,0
CDC42-IT1,75,84,91,58,66,69,61,86,79,43,54,53
MPHOSPH6P1,0,0,0,0,0,0,0,0,0,0,0,0
WNT4,1246,1259,1522,1024,1248,1457,684,833,631,622,585,733
AL445253.1,22,26,56,16,24,44,14,15,16,12,20,24
MIR4418,0,0,0,0,0,1,0,0,0,0,0,0
PPIAP34,0,0,1,0,0,0,2,0,1,1,1,1
AL591122.1,1,0,0,0,1,0,0,0,0,0,0,0
ZBTB40,5888,6404,6111,5162,6718,6467,4087,5260,4557,3799,4234,4299
ZBTB40-IT1,32,32,19,16,19,33,12,29,23,7,7,17
EPHA8,12,33,24,23,25,23,25,27,8,23,17,17
MIR6127,0,0,0,0,0,0,0,2,0,0,0,0
C1QA,1,1,1,2,2,2,0,0,3,0,1,4
C1QC,0,0,1,0,2,5,1,0,4,2,1,0
C1QB,2,2,1,0,1,0,0,0,0,3,2,1
EPHB2,17368,20101,19184,14915,21025,19269,13639,16053,13191,11886,13815,13653
MIR4684,2,1,0,1,0,1,0,0,0,1,1,1
AL512444.1,0,0,0,0,0,0,0,0,0,0,0,0
MIR4253,4,1,5,0,2,0,2,1,1,0,0,0
LACTBL1,0,2,0,0,0,2,0,4,3,0,1,0
TEX46,37,65,50,32,59,55,30,42,50,30,34,33
KDM1A,24540,27517,27937,21112,27910,26685,18098,23074,19261,16530,18338,20315
AL031428.1,0,0,0,0,2,2,0,3,2,0,0,1
MIR3115,1,0,0,0,1,0,0,1,2,1,1,1
AL031428.2,0,0,1,0,0,0,0,0,0,0,0,0
LUZP1,6880,6917,6426,5770,6919,7451,4720,6116,5057,3968,4476,4847
AL161672.1,0,0,0,0,1,2,1,0,0,1,0,0
RNU6-514P,0,0,0,0,0,0,0,1,0,0,0,0
RNU6-135P,0,0,4,0,0,4,1,1,0,0,0,0
HTR1D,358,308,317,278,252,382,193,255,238,175,169,256
AL109936.2,3,4,6,6,3,2,0,8,5,3,4,1
LINC01355,2049,2158,1833,1485,2399,2391,1502,2245,1558,1281,1406,1775
AL109936.8,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPR,24136,25514,25364,19698,25640,25694,16850,21127,17455,14824,17058,19223
ZNF436,10524,10831,10934,8655,10906,11300,7094,9184,7276,5982,6951,7921
ZNF436-AS1,995,1201,1037,774,1095,929,863,1163,969,754,880,994
AL109936.1,0,0,0,0,0,0,0,0,0,0,0,0
AL109936.3,13,3,9,8,5,9,6,13,6,5,6,11
TCEA3,317,260,296,228,274,303,194,260,218,184,216,260
AL357134.1,0,0,0,0,0,0,0,0,0,0,0,0
ASAP3,9192,9762,9568,7681,9491,8960,7201,8922,8031,6788,7070,8567
E2F2,1015,1216,1170,878,1232,1003,833,970,856,726,895,773
AL021154.1,7,4,3,2,9,5,1,2,4,2,2,2
ID3,514,433,569,379,387,548,330,332,383,246,316,405
AL450043.1,6,4,7,5,4,2,4,7,5,3,7,3
MDS2,0,0,1,0,0,0,1,4,4,0,1,0
AL451000.1,0,0,0,0,0,0,0,0,1,0,1,0
RPL11,36073,41683,41411,29203,39170,37045,29777,36512,31908,27013,29663,36532
ELOA-AS1,529,587,598,406,573,500,417,568,367,362,410,550
ELOA,9670,10076,10224,7893,10236,10021,6997,8782,7356,6026,6531,7733
PITHD1,7013,7772,8117,5838,8026,7485,5189,6602,5241,4680,5407,5674
LYPLA2,6006,6773,6784,4949,6597,6111,4409,5259,4707,4040,4594,5005
GALE,2854,3539,3412,2497,3165,2882,2571,2809,2559,2236,2365,2707
HMGCL,3449,3928,3634,2517,3442,3309,2760,3464,3069,2647,2694,3433
FUCA1,1577,1696,1687,1405,1709,1725,1140,1426,1232,1018,1151,1332
CNR2,9,6,2,3,4,7,8,6,3,3,2,7
BTBD6P1,8,6,4,3,1,6,4,4,2,5,1,4
AL590609.2,0,0,0,1,0,0,0,2,0,0,0,0
MIR378F,0,0,0,0,0,0,0,0,0,0,0,0
H3P1,6,3,5,2,4,11,3,0,1,2,0,1
PNRC2,10671,10861,11192,8490,11021,10855,6993,9409,7562,6067,6978,8318
SRSF10,14499,14509,14331,11118,15620,15938,9939,13107,10521,8459,9612,11150
AL590609.1,0,0,0,0,1,0,0,0,0,0,0,1
AL591178.1,0,3,0,1,1,0,0,0,0,0,0,0
MYOM3,3,7,4,9,6,10,7,6,4,3,5,3
MYOM3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
IL22RA1,9,13,12,5,12,6,9,7,15,5,8,12
IFNLR1,27,26,18,22,23,48,16,23,19,22,8,16
LINC02800,1,0,1,0,2,1,2,1,2,0,2,0
GRHL3-AS1,1,3,2,0,2,1,0,5,2,1,1,3
GRHL3,93,167,132,88,132,121,116,183,107,49,77,111
STPG1,2496,2572,2818,1949,2653,2613,1671,2044,1771,1636,1532,1984
NIPAL3,6505,6625,6511,5279,6485,6424,4772,5823,5077,4139,4481,5429
RCAN3AS,2,0,0,1,0,2,0,0,0,1,0,1
RCAN3,458,396,447,403,403,511,255,265,308,216,244,318
NCMAP-DT,0,0,0,0,0,0,0,1,0,0,0,2
NCMAP,2,3,3,6,1,4,6,5,0,3,1,1
AL445686.1,0,0,0,0,0,0,0,0,0,0,0,0
SRRM1,14664,15939,14906,12264,15785,15123,11686,15540,13279,10697,11079,13347
AL445648.1,0,0,0,0,0,0,0,0,0,2,0,0
CLIC4,19342,17864,18088,14294,17887,19038,12388,17035,14016,10175,11248,14469
RNU6-1208P,0,0,0,0,0,0,0,0,0,0,0,0
RUNX3,46,45,39,43,54,55,32,24,35,35,30,35
MIR6731,0,0,0,0,0,0,0,0,0,0,0,0
RUNX3-AS1,0,1,5,0,0,0,0,0,2,0,0,0
AL445471.1,0,0,0,0,1,0,0,0,0,0,1,1
MIR4425,0,0,0,0,0,0,0,0,0,0,0,0
LINC02793,1,0,0,0,0,0,0,0,0,0,0,0
AL050344.1,0,1,0,1,0,0,0,0,2,1,0,0
IFITM3P7,0,0,0,0,0,0,0,0,0,0,0,0
AL031432.1,1,0,0,1,0,0,1,0,0,1,0,1
SYF2,3513,3678,4161,2847,3698,3744,2374,3283,2594,2129,2457,2924
AL031432.4,408,444,368,287,376,350,266,413,343,259,256,317
AL031432.5,122,151,156,89,142,147,113,173,146,118,107,151
RSRP1,9206,9341,9613,7874,9353,9076,6532,8396,7107,5527,6312,7281
AL031432.3,23,32,22,19,23,25,17,24,16,17,30,28
AL031432.2,190,212,170,183,235,200,124,206,174,119,166,140
RHD,5,3,7,1,6,0,9,0,6,2,8,3
SDHDP6,76,87,76,62,91,77,67,71,64,48,71,87
AL928711.1,21,35,19,20,30,22,26,18,28,7,20,10
